Date,volume,opens,close
"Feb 01, 2020","25,922,656,496","9,346.36","9,392.88"
"Jan 31, 2020","29,432,489,719","9,508.31","9,350.53"
"Jan 30, 2020","32,378,792,851","9,316.02","9,508.99"
"Jan 29, 2020","30,682,598,115","9,357.47","9,316.63"
"Jan 28, 2020","34,398,744,403","8,912.52","9,358.59"
"Jan 27, 2020","28,647,338,393","8,597.31","8,909.82"
"Jan 26, 2020","22,177,678,796","8,364.41","8,596.83"
"Jan 25, 2020","19,647,331,549","8,440.12","8,367.85"
"Jan 24, 2020","24,397,913,026","8,405.57","8,445.43"
"Jan 23, 2020","25,770,680,779","8,680.65","8,406.52"
"Jan 22, 2020","22,600,204,051","8,744.21","8,680.88"
"Jan 21, 2020","24,097,418,512","8,658.99","8,745.89"
"Jan 20, 2020","26,422,375,678","8,704.63","8,657.64"
"Jan 19, 2020","34,217,320,471","8,941.45","8,706.25"
"Jan 18, 2020","32,337,772,627","8,927.21","8,942.81"
"Jan 17, 2020","36,372,139,320","8,725.21","8,929.04"
"Jan 16, 2020","31,313,981,931","8,812.48","8,723.79"
"Jan 15, 2020","40,102,834,650","8,825.34","8,807.01"
"Jan 14, 2020","44,841,784,107","8,140.93","8,827.76"
"Jan 13, 2020","22,482,910,688","8,189.77","8,144.19"
"Jan 12, 2020","22,903,438,381","8,033.26","8,192.49"
"Jan 11, 2020","25,521,165,085","8,162.19","8,037.54"
"Jan 10, 2020","28,714,583,844","7,878.31","8,166.55"
"Jan 09, 2020","24,045,990,466","8,082.30","7,879.07"
"Jan 08, 2020","31,672,559,265","8,161.94","8,079.86"
"Jan 07, 2020","28,767,291,327","7,768.68","8,163.69"
"Jan 06, 2020","23,276,261,598","7,410.45","7,769.22"
"Jan 05, 2020","19,725,074,095","7,410.45","7,411.32"
"Jan 04, 2020","18,444,271,275","7,345.38","7,410.66"
"Jan 03, 2020","28,111,481,032","6,984.43","7,344.88"
"Jan 02, 2020","20,802,083,465","7,202.55","6,985.47"
"Jan 01, 2020","18,565,664,997","7,194.89","7,200.17"
"Dec 31, 2019","21,167,946,112","7,294.44","7,193.60"
"Dec 30, 2019","22,874,131,672","7,420.27","7,293.00"
"Dec 29, 2019","22,445,257,702","7,317.65","7,422.65"
"Dec 28, 2019","21,365,673,026","7,289.03","7,317.99"
"Dec 27, 2019","22,777,360,996","7,238.14","7,290.09"
"Dec 26, 2019","22,787,010,034","7,274.80","7,238.97"
"Dec 25, 2019","21,559,505,149","7,325.76","7,275.16"
"Dec 24, 2019","22,991,622,105","7,354.39","7,322.53"
"Dec 23, 2019","27,831,788,041","7,508.90","7,355.63"
"Dec 22, 2019","23,134,537,956","7,191.19","7,511.59"
"Dec 21, 2019","19,312,552,168","7,220.59","7,191.16"
"Dec 20, 2019","22,633,815,180","7,208.64","7,218.82"
"Dec 19, 2019","25,904,604,416","7,277.59","7,202.84"
"Dec 18, 2019","31,836,522,778","6,647.70","7,276.80"
"Dec 17, 2019","22,363,804,217","6,931.32","6,640.52"
"Dec 16, 2019","20,213,265,950","7,153.66","6,932.48"
"Dec 15, 2019","16,881,129,804","7,124.24","7,152.30"
"Dec 14, 2019","17,137,029,730","7,268.90","7,124.67"
"Dec 13, 2019","17,125,736,940","7,244.66","7,269.68"
"Dec 12, 2019","18,927,080,224","7,216.74","7,243.13"
"Dec 11, 2019","16,350,490,689","7,277.20","7,217.43"
"Dec 10, 2019","18,249,031,195","7,397.13","7,278.12"
"Dec 09, 2019","17,872,021,272","7,561.80","7,400.90"
"Dec 08, 2019","15,409,908,086","7,551.34","7,564.35"
"Dec 07, 2019","15,453,520,564","7,547.27","7,556.24"
"Dec 06, 2019","18,104,466,307","7,450.56","7,547.00"
